,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo
0,0.484,2021,0.0558,73.33333333333333,0.584,202204,0.836,0,0.0,0,0.0663,-4.925,1,0X1=LOVESONG (I Know I Love You) feat. Seori,0.079,104.973
1,0.687,2021,0.001,73.33333333333333,0.644,199919,0.867,0,0.0,11,0.105,-4.18,0,LO$ER=LO♡ER,0.0383,124.997
2,0.135,1973,0.0591,46.10344827586207,0.359,130429,0.579,0,0.746,10,0.0686,-10.765,1,Eclipse,0.0406,68.102
3,0.126,1973,0.863,46.10344827586207,0.356,469224,0.302,0,0.546,2,0.634,-14.528,1,Us and Them,0.0346,72.623
4,0.455,2021,0.00852,72.0,0.611,212280,0.864,0,1.68e-06,6,0.136,-2.345,0,FIRST,0.0654,152.02
5,0.0901,2020,0.00554,31.7209,0.572,232736,0.564,0,0.00748,0,0.0887,-7.62,1,Free If We Want It,0.0327,118.004
6,0.344,2018,0.00267,68.6,0.557,242334,0.719,0,0.0,2,0.306,-4.515,0,FAKE LOVE,0.0372,77.501
7,0.683,2020,0.15,31.7209,0.755,215827,0.828,0,4.41e-06,10,0.112,-3.11,0,Faded In My Last Song,0.0482,135.002
8,0.572,2020,0.000465,31.7209,0.621,237645,0.666,0,0.0839,6,0.0779,-7.078,1,Is Everybody Going Crazy?,0.0541,123.969
9,0.443,2017,0.413,71.83333333333333,0.723,207813,0.903,0,0.000377,4,0.118,-1.262,0,Likey,0.033,132.006
10,0.312,2020,0.159,57.67213114754098,0.783,230399,0.586,1,0.0,11,0.389,-8.068,0,Zeus (feat. White Gold),0.204,177.024
11,0.528,2010,0.0578,54.52173913043478,0.616,315200,0.682,0,0.0241,6,0.342,-6.148,0,The Suburbs,0.0265,117.78
12,0.478,2021,0.0383,74.2,0.591,141806,0.764,1,0.0,1,0.103,-5.484,1,STAY (with Justin Bieber),0.0483,169.928
13,0.505,1973,0.197,46.10344827586207,0.277,206429,0.672,0,0.935,0,0.423,-12.582,1,Any Colour You Like,0.0901,150.588
14,0.0853,2021,0.0798,31.7209,0.556,225027,0.913,0,0.0,8,0.342,-3.512,1,ALL IN (Prod. GroovyRoom),0.0598,139.952
15,0.313,2007,0.315,54.52173913043478,0.296,287240,0.502,0,0.0551,0,0.229,-8.653,0,My Body Is a Cage,0.0336,81.045
16,0.623,2021,0.0833,31.7209,0.689,226268,0.706,0,0.0,1,0.105,-4.48,0,Little Bit of Love,0.0312,106.52
17,0.722,2017,0.164,67.5,0.781,203427,0.683,0,1.53e-06,0,0.16,-4.258,1,Don't Wanna Cry,0.0325,100.005
18,0.258,1973,0.391,46.10344827586207,0.431,169535,0.375,0,0.721,11,0.143,-15.142,0,Breathe (In the Air),0.0347,128.153
19,0.26,2016,0.112,66.19047619047619,0.468,217747,0.779,0,0.000373,9,0.101,-4.839,1,Unstoppable,0.0779,173.799
20,0.538,2010,0.0565,54.52173913043478,0.619,315027,0.686,0,0.0237,6,0.142,-6.125,0,The Suburbs,0.0265,117.777
21,0.35,2017,0.0124,31.720905878573724,0.442,240605,0.705,0,0.0,7,0.121,-4.94,1,좋아합니다 I like you,0.0324,149.954
22,0.769,2020,0.121,71.83333333333333,0.657,205493,0.88,0,0.0,10,0.463,-3.672,0,I CAN'T STOP ME,0.102,150.084
23,0.137,1973,0.65,46.10344827586207,0.388,225385,0.563,0,0.902,7,0.104,-21.192,1,On the Run,0.0628,165.393
24,0.886,1984,0.0856,45.18181818181818,0.592,249493,0.916,0,9.27e-05,9,0.161,-6.9,1,Dancing with Tears in My Eyes - Single Version / 2009 Remaster,0.0482,144.262
25,0.181,1973,0.768,46.10344827586207,0.275,283872,0.216,0,0.897,5,0.0832,-13.818,1,The Great Gig in the Sky,0.0345,116.388
26,0.603,1984,0.00375,51.450980392156865,0.475,230667,0.899,0,1.91e-05,9,0.14,-4.321,0,Runaway,0.0637,152.445
27,0.413,2021,0.00263,31.720905878573724,0.613,247092,0.667,1,0.0635,3,0.0753,-5.145,0,Family,0.0855,149.838
28,0.52,1980,0.574,44.68181818181818,0.454,294720,0.788,0,0.000766,6,0.0859,-6.748,1,The Winner Takes It All,0.0371,126.15
29,0.419,2020,0.0542,71.83333333333333,0.702,204168,0.692,0,0.0,10,0.0877,-5.405,1,CRY FOR ME,0.0539,144.896
30,0.716,2020,0.044,67.5,0.479,244400,0.913,0,0.0,1,0.0732,-3.243,1,Together,0.0572,162.022
31,0.8,1990,0.16,38.297872340425535,0.626,310893,0.746,0,0.0,7,0.0618,-8.832,1,All I Wanna Do Is Make Love To You,0.0282,102.896
32,0.429,2018,0.379,31.720905878573724,0.507,237577,0.533,0,0.0,3,0.0771,-4.396,1,She's In The Rain,0.0264,92.916
33,0.0312,1973,0.362,46.10344827586207,0.592,65314,0.0196,1,0.854,1,0.108,-33.35,1,Speak to Me,0.0358,119.504
34,0.356,1973,0.521,46.10344827586207,0.358,413947,0.48,0,0.00428,9,0.178,-11.79,1,Time,0.0849,120.317
35,0.783,1973,0.0241,46.10344827586207,0.469,382834,0.537,0,0.00201,9,0.269,-10.421,1,Money,0.152,124.193
36,0.735,2018,0.0514,71.83333333333333,0.702,237680,0.913,0,3.72e-06,11,0.166,-2.977,1,YES or YES,0.0374,137.981
37,0.19,2009,0.145,48.6,0.431,267360,0.723,0,0.0,8,0.374,-5.887,1,Total Eclipse of the Heart,0.0568,130.141
38,0.507,1986,0.0158,53.75,0.625,280400,0.726,0,0.000169,11,0.0625,-11.402,0,(I Just) Died In Your Arms,0.0444,124.945
39,0.207,1973,0.0726,46.10344827586207,0.322,226667,0.265,0,0.34,2,0.366,-13.398,1,Brain Damage,0.0302,133.577
40,0.199,2007,0.772,54.11578947368421,0.531,318187,0.61,0,0.756,11,0.0908,-8.025,0,Weird Fishes/ Arpeggi,0.0387,152.958
41,0.558,2017,0.029,31.720905878573724,0.561,229667,0.724,0,0.0,3,0.0897,-3.65,1,Congratulations (Final Ver.),0.0384,90.02
42,0.531,2020,0.44,57.833333333333336,0.761,238805,0.525,0,6.7e-06,11,0.0921,-6.9,1,Heat Waves,0.0944,80.87
43,0.702,2021,0.0474,71.83333333333333,0.688,210573,0.909,0,1.35e-06,8,0.0674,-1.992,1,Alcohol-Free,0.0624,97.097
44,0.84,2009,0.0057,48.6,0.549,261341,0.89,0,0.00053,9,0.128,-7.973,0,Holding Out for a Hero - Single Version,0.0613,149.092
45,0.433,1981,0.31,38.65,0.33,292067,0.469,0,2.3e-06,10,0.0402,-9.286,0,Waiting for a Girl like You,0.0335,201.327
46,0.673,2012,0.191,65.0,0.73,195547,0.784,0,0.0,9,0.0956,-2.62,1,Celebrity,0.0691,99.995
47,0.361,2018,0.263,65.3076923076923,0.476,230027,0.718,1,0.00261,5,0.109,-7.227,0,Hurt You,0.149,183.932
48,0.294,2015,0.0149,68.6,0.448,238862,0.776,0,0.0,6,0.12,-4.498,1,Butterfly,0.0571,149.806
49,0.529,2021,0.049,31.7209,0.534,184413,0.933,0,0.0,6,0.195,-1.826,0,Odd Eye,0.11,160.061
